Tournament,Match Link,Team 1,Team 2,Score
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377735/spirit-vs-faze-perfect-world-shanghai-major-2024,Spirit,FaZe,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377734/g2-vs-faze-perfect-world-shanghai-major-2024,G2,FaZe,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377733/mouz-vs-spirit-perfect-world-shanghai-major-2024,MOUZ,Spirit,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377732/vitality-vs-faze-perfect-world-shanghai-major-2024,Vitality,FaZe,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377731/g2-vs-heroic-perfect-world-shanghai-major-2024,G2,HEROIC,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377730/spirit-vs-liquid-perfect-world-shanghai-major-2024,Spirit,Liquid,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377729/the-mongolz-vs-mouz-perfect-world-shanghai-major-2024,The MongolZ,MOUZ,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377728/faze-vs-furia-perfect-world-shanghai-major-2024,FaZe,FURIA,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377727/heroic-vs-natus-vincere-perfect-world-shanghai-major-2024,HEROIC,Natus Vincere,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377726/mibr-vs-mouz-perfect-world-shanghai-major-2024,MIBR,MOUZ,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377725/furia-vs-pain-perfect-world-shanghai-major-2024,FURIA,paiN,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377724/spirit-vs-heroic-perfect-world-shanghai-major-2024,Spirit,HEROIC,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377722/mibr-vs-liquid-perfect-world-shanghai-major-2024,MIBR,Liquid,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377723/natus-vincere-vs-gamerlegion-perfect-world-shanghai-major-2024,Natus Vincere,GamerLegion,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377720/mouz-vs-3dmax-perfect-world-shanghai-major-2024,MOUZ,3DMAX,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377721/g2-vs-faze-perfect-world-shanghai-major-2024,G2,FaZe,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377718/the-mongolz-vs-heroic-perfect-world-shanghai-major-2024,The MongolZ,HEROIC,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377719/big-vs-pain-perfect-world-shanghai-major-2024,BIG,paiN,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377716/gamerlegion-vs-wildcard-perfect-world-shanghai-major-2024,GamerLegion,Wildcard,2 - 1
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377717/vitality-vs-mibr-perfect-world-shanghai-major-2024,Vitality,MIBR,2 - 0
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377715/mouz-vs-faze-perfect-world-shanghai-major-2024,MOUZ,FaZe,13 - 10
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377714/g2-vs-3dmax-perfect-world-shanghai-major-2024,G2,3DMAX,13 - 8
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377713/furia-vs-liquid-perfect-world-shanghai-major-2024,FURIA,Liquid,13 - 9
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377712/natus-vincere-vs-spirit-perfect-world-shanghai-major-2024,Natus Vincere,Spirit,13 - 2
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377710/faze-vs-heroic-perfect-world-shanghai-major-2024,FaZe,HEROIC,13 - 8
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377711/3dmax-vs-pain-perfect-world-shanghai-major-2024,3DMAX,paiN,13 - 11
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377708/natus-vincere-vs-mibr-perfect-world-shanghai-major-2024,Natus Vincere,MIBR,13 - 11
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377709/g2-vs-big-perfect-world-shanghai-major-2024,G2,BIG,13 - 5
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377707/mouz-vs-the-mongolz-perfect-world-shanghai-major-2024,MOUZ,The MongolZ,16 - 13
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377706/spirit-vs-wildcard-perfect-world-shanghai-major-2024,Spirit,Wildcard,13 - 6
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377705/vitality-vs-furia-perfect-world-shanghai-major-2024,Vitality,FURIA,16 - 13
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377704/liquid-vs-gamerlegion-perfect-world-shanghai-major-2024,Liquid,GamerLegion,13 - 10
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377703/3dmax-vs-mibr-perfect-world-shanghai-major-2024,3DMAX,MIBR,13 - 11
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377702/heroic-vs-big-perfect-world-shanghai-major-2024,HEROIC,BIG,13 - 7
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377701/faze-vs-wildcard-perfect-world-shanghai-major-2024,FaZe,Wildcard,13 - 10
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377700/mouz-vs-pain-perfect-world-shanghai-major-2024,MOUZ,paiN,13 - 6
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377699/spirit-vs-furia-perfect-world-shanghai-major-2024,Spirit,FURIA,13 - 6
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377698/vitality-vs-gamerlegion-perfect-world-shanghai-major-2024,Vitality,GamerLegion,13 - 7
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377696/g2-vs-the-mongolz-perfect-world-shanghai-major-2024,G2,The MongolZ,13 - 10
Perfect World Shanghai Major 2024,https://www.hltv.org/matches/2377697/natus-vincere-vs-liquid-perfect-world-shanghai-major-2024,Natus Vincere,Liquid,13 - 10
Thunderpick World Championship 2024 Finals,https://www.hltv.org/matches/2376871/heroic-vs-the-mongolz-thunderpick-world-championship-2024-finals,HEROIC,The MongolZ,3 - 1
Thunderpick World Championship 2024 Finals,https://www.hltv.org/matches/2376870/og-vs-3dmax-thunderpick-world-championship-2024-finals,OG,3DMAX,2 - 1
Thunderpick World Championship 2024 Finals,https://www.hltv.org/matches/2376869/3dmax-vs-the-mongolz-thunderpick-world-championship-2024-finals,3DMAX,The MongolZ,2 - 0
Thunderpick World Championship 2024 Finals,https://www.hltv.org/matches/2376868/heroic-vs-og-thunderpick-world-championship-2024-finals,HEROIC,OG,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376884/g2-vs-spirit-blast-premier-world-final-2024,G2,Spirit,3 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376882/astralis-vs-spirit-blast-premier-world-final-2024,Astralis,Spirit,2 - 1
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376883/g2-vs-vitality-blast-premier-world-final-2024,G2,Vitality,2 - 1
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376880/faze-vs-spirit-blast-premier-world-final-2024,FaZe,Spirit,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376881/mouz-vs-vitality-blast-premier-world-final-2024,MOUZ,Vitality,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376879/g2-vs-spirit-blast-premier-world-final-2024,G2,Spirit,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376878/liquid-vs-vitality-blast-premier-world-final-2024,Liquid,Vitality,2 - 1
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376875/astralis-vs-mouz-blast-premier-world-final-2024,Astralis,MOUZ,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376874/natus-vincere-vs-faze-blast-premier-world-final-2024,Natus Vincere,FaZe,2 - 1
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376877/vitality-vs-spirit-blast-premier-world-final-2024,Vitality,Spirit,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376876/g2-vs-liquid-blast-premier-world-final-2024,G2,Liquid,2 - 1
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376873/mouz-vs-faze-blast-premier-world-final-2024,MOUZ,FaZe,2 - 0
BLAST Premier World Final 2024,https://www.hltv.org/matches/2376872/natus-vincere-vs-astralis-blast-premier-world-final-2024,Natus Vincere,Astralis,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376509/natus-vincere-vs-mouz-iem-rio-2024,Natus Vincere,MOUZ,3 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376508/furia-vs-mouz-iem-rio-2024,FURIA,MOUZ,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376507/heroic-vs-natus-vincere-iem-rio-2024,HEROIC,Natus Vincere,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376506/vitality-vs-mouz-iem-rio-2024,Vitality,MOUZ,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376505/virtuspro-vs-natus-vincere-iem-rio-2024,Virtus.pro,Natus Vincere,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376501/faze-vs-mouz-iem-rio-2024,FaZe,MOUZ,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376504/virtuspro-vs-the-mongolz-iem-rio-2024,Virtus.pro,The MongolZ,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376503/furia-vs-natus-vincere-iem-rio-2024,FURIA,Natus Vincere,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376502/vitality-vs-heroic-iem-rio-2024,Vitality,HEROIC,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376500/the-mongolz-vs-eternal-fire-iem-rio-2024,The MongolZ,Eternal Fire,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376499/virtuspro-vs-astralis-iem-rio-2024,Virtus.pro,Astralis,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376497/mouz-vs-complexity-iem-rio-2024,MOUZ,Complexity,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376498/faze-vs-liquid-iem-rio-2024,FaZe,Liquid,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376495/heroic-vs-astralis-iem-rio-2024,HEROIC,Astralis,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376496/g2-vs-eternal-fire-iem-rio-2024,G2,Eternal Fire,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376494/9z-vs-virtuspro-iem-rio-2024,9z,Virtus.pro,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376493/vitality-vs-the-mongolz-iem-rio-2024,Vitality,The MongolZ,2 - 0
IEM Rio 2024,https://www.hltv.org/matches/2376491/natus-vincere-vs-liquid-iem-rio-2024,Natus Vincere,Liquid,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376492/imperial-vs-complexity-iem-rio-2024,Imperial,Complexity,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376490/faze-vs-pain-iem-rio-2024,FaZe,paiN,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376489/furia-vs-mouz-iem-rio-2024,FURIA,MOUZ,2 - 1
IEM Rio 2024,https://www.hltv.org/matches/2376225/eternal-fire-vs-astralis-iem-rio-2024,Eternal Fire,Astralis,13 - 11
IEM Rio 2024,https://www.hltv.org/matches/2376224/virtuspro-vs-the-mongolz-iem-rio-2024,Virtus.pro,The MongolZ,13 - 10
IEM Rio 2024,https://www.hltv.org/matches/2376226/g2-vs-heroic-iem-rio-2024,G2,HEROIC,13 - 10
IEM Rio 2024,https://www.hltv.org/matches/2376223/vitality-vs-9z-iem-rio-2024,Vitality,9z,13 - 3
IEM Rio 2024,https://www.hltv.org/matches/2376220/liquid-vs-complexity-iem-rio-2024,Liquid,Complexity,13 - 6
IEM Rio 2024,https://www.hltv.org/matches/2376219/natus-vincere-vs-imperial-iem-rio-2024,Natus Vincere,Imperial,13 - 2
IEM Rio 2024,https://www.hltv.org/matches/2376222/mouz-vs-pain-iem-rio-2024,MOUZ,paiN,13 - 11
IEM Rio 2024,https://www.hltv.org/matches/2376221/faze-vs-furia-iem-rio-2024,FaZe,FURIA,13 - 7
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375777/g2-vs-natus-vincere-blast-premier-fall-final-2024,G2,Natus Vincere,3 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375776/natus-vincere-vs-faze-blast-premier-fall-final-2024,Natus Vincere,FaZe,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375775/vitality-vs-g2-blast-premier-fall-final-2024,Vitality,G2,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375774/faze-vs-liquid-blast-premier-fall-final-2024,FaZe,Liquid,2 - 0
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375773/g2-vs-spirit-blast-premier-fall-final-2024,G2,Spirit,2 - 0
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375772/vitality-vs-liquid-blast-premier-fall-final-2024,Vitality,Liquid,2 - 0
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375771/astralis-vs-spirit-blast-premier-fall-final-2024,Astralis,Spirit,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375770/natus-vincere-vs-g2-blast-premier-fall-final-2024,Natus Vincere,G2,2 - 0
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375769/falcons-vs-faze-blast-premier-fall-final-2024,Falcons,FaZe,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375768/spirit-vs-liquid-blast-premier-fall-final-2024,Spirit,Liquid,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375767/vitality-vs-astralis-blast-premier-fall-final-2024,Vitality,Astralis,2 - 0
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375766/g2-vs-faze-blast-premier-fall-final-2024,G2,FaZe,2 - 1
BLAST Premier Fall Final 2024,https://www.hltv.org/matches/2375765/natus-vincere-vs-falcons-blast-premier-fall-final-2024,Natus Vincere,Falcons,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373289/g2-vs-natus-vincere-esports-world-cup-2024,G2,Natus Vincere,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373288/mouz-vs-natus-vincere-esports-world-cup-2024,MOUZ,Natus Vincere,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373287/g2-vs-virtuspro-esports-world-cup-2024,G2,Virtus.pro,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373283/natus-vincere-vs-faze-esports-world-cup-2024,Natus Vincere,FaZe,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373284/mouz-vs-furia-esports-world-cup-2024,MOUZ,FURIA,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373286/vitality-vs-virtuspro-esports-world-cup-2024,Vitality,Virtus.pro,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373285/spirit-vs-g2-esports-world-cup-2024,Spirit,G2,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373282/furia-vs-the-mongolz-esports-world-cup-2024,FURIA,The MongolZ,13 - 9
Esports World Cup 2024,https://www.hltv.org/matches/2373281/the-mongolz-vs-m80-esports-world-cup-2024,The MongolZ,M80,13 - 8
Esports World Cup 2024,https://www.hltv.org/matches/2373280/sashi-vs-furia-esports-world-cup-2024,Sashi,FURIA,19 - 15
Esports World Cup 2024,https://www.hltv.org/matches/2373279/m80-vs-complexity-esports-world-cup-2024,M80,Complexity,16 - 14
Esports World Cup 2024,https://www.hltv.org/matches/2373278/the-mongolz-vs-mibr-esports-world-cup-2024,The MongolZ,MIBR,13 - 2
Esports World Cup 2024,https://www.hltv.org/matches/2373277/flyquest-vs-furia-esports-world-cup-2024,FlyQuest,FURIA,13 - 5
Esports World Cup 2024,https://www.hltv.org/matches/2373276/jijiehao-vs-sashi-esports-world-cup-2024,JiJieHao,Sashi,13 - 8
Esports World Cup 2024,https://www.hltv.org/matches/2373272/virtuspro-vs-complexity-esports-world-cup-2024,Virtus.pro,Complexity,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373270/spirit-vs-mibr-esports-world-cup-2024,Spirit,MIBR,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373271/natus-vincere-vs-furia-esports-world-cup-2024,Natus Vincere,FURIA,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373273/vitality-vs-m80-esports-world-cup-2024,Vitality,M80,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373269/mouz-vs-sashi-esports-world-cup-2024,MOUZ,Sashi,2 - 1
Esports World Cup 2024,https://www.hltv.org/matches/2373274/faze-vs-flyquest-esports-world-cup-2024,FaZe,FlyQuest,2 - 0
Esports World Cup 2024,https://www.hltv.org/matches/2373275/g2-vs-the-mongolz-esports-world-cup-2024,G2,The MongolZ,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372746/spirit-vs-natus-vincere-blast-premier-spring-final-2024,Spirit,Natus Vincere,3 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372745/natus-vincere-vs-virtuspro-blast-premier-spring-final-2024,Natus Vincere,Virtus.pro,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372744/spirit-vs-vitality-blast-premier-spring-final-2024,Spirit,Vitality,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372743/astralis-vs-virtuspro-blast-premier-spring-final-2024,Astralis,Virtus.pro,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372742/faze-vs-vitality-blast-premier-spring-final-2024,FaZe,Vitality,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372741/virtuspro-vs-spirit-blast-premier-spring-final-2024,Virtus.pro,Spirit,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372740/vitality-vs-g2-blast-premier-spring-final-2024,Vitality,G2,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372736/faze-vs-natus-vincere-blast-premier-spring-final-2024,FaZe,Natus Vincere,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372737/saw-vs-astralis-blast-premier-spring-final-2024,SAW,Astralis,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372739/spirit-vs-g2-blast-premier-spring-final-2024,Spirit,G2,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372738/vitality-vs-virtuspro-blast-premier-spring-final-2024,Vitality,Virtus.pro,2 - 1
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372735/natus-vincere-vs-astralis-blast-premier-spring-final-2024,Natus Vincere,Astralis,2 - 0
BLAST Premier Spring Final 2024,https://www.hltv.org/matches/2372734/faze-vs-saw-blast-premier-spring-final-2024,FaZe,SAW,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372350/g2-vs-vitality-iem-dallas-2024,G2,Vitality,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372348/9z-vs-g2-iem-dallas-2024,9z,G2,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372349/spirit-vs-vitality-iem-dallas-2024,Spirit,Vitality,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372346/faze-vs-g2-iem-dallas-2024,FaZe,G2,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372347/vitality-vs-heroic-iem-dallas-2024,Vitality,HEROIC,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372342/g2-vs-liquid-iem-dallas-2024,G2,Liquid,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372345/heroic-vs-big-iem-dallas-2024,HEROIC,BIG,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372343/9z-vs-vitality-iem-dallas-2024,9z,Vitality,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372344/faze-vs-spirit-iem-dallas-2024,FaZe,Spirit,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372341/virtuspro-vs-big-iem-dallas-2024,Virtus.pro,BIG,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372340/natus-vincere-vs-heroic-iem-dallas-2024,Natus Vincere,HEROIC,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372338/g2-vs-mouz-iem-dallas-2024,G2,MOUZ,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372339/liquid-vs-falcons-iem-dallas-2024,Liquid,Falcons,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372334/faze-vs-virtuspro-iem-dallas-2024,FaZe,Virtus.pro,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372337/big-vs-flyquest-iem-dallas-2024,BIG,FlyQuest,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372335/m80-vs-heroic-iem-dallas-2024,M80,HEROIC,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372336/natus-vincere-vs-spirit-iem-dallas-2024,Natus Vincere,Spirit,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372332/liquid-vs-9z-iem-dallas-2024,Liquid,9z,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372333/complexity-vs-mouz-iem-dallas-2024,Complexity,MOUZ,2 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372331/falcons-vs-monte-iem-dallas-2024,Falcons,Monte,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372330/g2-vs-vitality-iem-dallas-2024,G2,Vitality,2 - 0
IEM Dallas 2024,https://www.hltv.org/matches/2372327/virtuspro-vs-heroic-iem-dallas-2024,Virtus.pro,HEROIC,13 - 4
IEM Dallas 2024,https://www.hltv.org/matches/2372328/spirit-vs-flyquest-iem-dallas-2024,Spirit,FlyQuest,13 - 1
IEM Dallas 2024,https://www.hltv.org/matches/2372326/faze-vs-m80-iem-dallas-2024,FaZe,M80,13 - 6
IEM Dallas 2024,https://www.hltv.org/matches/2372329/natus-vincere-vs-big-iem-dallas-2024,Natus Vincere,BIG,13 - 9
IEM Dallas 2024,https://www.hltv.org/matches/2372322/mouz-vs-9z-iem-dallas-2024,MOUZ,9z,13 - 9
IEM Dallas 2024,https://www.hltv.org/matches/2372323/complexity-vs-liquid-iem-dallas-2024,Complexity,Liquid,13 - 6
IEM Dallas 2024,https://www.hltv.org/matches/2372325/vitality-vs-monte-iem-dallas-2024,Vitality,Monte,16 - 12
IEM Dallas 2024,https://www.hltv.org/matches/2372324/g2-vs-falcons-iem-dallas-2024,G2,Falcons,13 - 10
